"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=211",274.564158356428,289.224570291983,280.062998179172,309.383822050281,285.135253590226,333.305178521334,2,2
"iRep=212",258.869849113713,273.530261049268,265.603956162138,294.924780033247,273.59026823958,321.760193170689,2,2
"iRep=213",271.858686167801,286.519098103356,282.292919914671,311.613743785781,284.267806851635,332.437731782743,2,2
"iRep=214",257.131494427182,271.791906362736,265.52196946737,294.842793338479,265.789350075369,313.959275006478,2,2
"iRep=215",277.851436078879,292.511848014433,284.950317586276,314.271141457386,288.194775465603,336.364700396711,2,2
"iRep=216",274.715642070926,289.37605400648,280.893355129135,310.214179000244,288.340805497418,336.510730428526,2,2
"iRep=217",259.505419591956,274.16583152751,260.751792635896,290.072616507005,267.502509070721,315.67243400183,2,2
"iRep=218",261.857207145515,276.51761908107,265.50595580528,294.826779676389,269.627724596539,317.797649527648,2,2
"iRep=219",267.625369842427,282.285781777982,272.712068748306,302.032892619416,267.973601234725,316.143526165833,2,2
"iRep=220",267.067018216148,281.727430151703,272.493993090391,301.8148169615,284.311099945034,332.481024876143,2,2
"iRep=222",255.851651919193,270.512063854748,262.996934008433,292.317757879542,266.861432274617,315.031357205725,2,2
"iRep=223",253.600661636866,268.26107357242,257.646235974,286.967059845109,262.810115358653,310.980040289761,2,2
"iRep=224",269.743750651264,284.404162586819,275.362667478867,304.683491349976,284.901121001442,333.071045932551,2,2
"iRep=225",263.015217683662,277.675629619216,267.354486379715,296.675310250824,270.233892815882,318.403817746991,2,2
"iRep=226",262.222918024079,276.883329959633,263.183685090143,292.504508961253,275.00501541126,323.174940342368,2,2
"iRep=227",265.527342375072,280.187754310626,265.445828195862,294.766652066972,260.853608827085,309.023533758193,4,2
"iRep=228",267.804562339313,282.464974274868,281.646765588427,310.967589459537,285.237758392959,333.407683324067,2,2
"iRep=229",275.641111651248,290.301523586802,282.222914685655,311.543738556764,291.504183529231,339.674108460339,2,2
"iRep=230",243.400937728605,258.06134966416,246.540995601145,275.861819472254,254.519739946478,302.689664877587,2,2
"iRep=231",261.609482509934,276.269894445489,267.117556280745,296.438380151854,277.800431559786,325.970356490894,2,2
"iRep=232",261.432463349951,276.092875285506,268.209160687909,297.529984559019,271.62099576561,319.790920696719,2,2
"iRep=233",268.732115348699,283.392527284254,279.234609558808,308.555433429917,280.894277857625,329.064202788733,2,2
"iRep=234",255.406479942961,270.066891878516,258.27863131175,287.59945518286,271.023196569543,319.193121500651,2,2
"iRep=235",263.937657145853,278.598069081408,264.286994774379,293.607818645488,271.998891073698,320.168816004806,2,2
"iRep=236",257.392569596108,272.052981531663,265.973139318476,295.293963189586,268.399991792248,316.569916723356,2,2
"iRep=237",263.995321940645,278.6557338762,273.795457704666,303.116281575775,281.679153292946,329.849078224055,2,2
"iRep=238",264.469829537044,279.130241472599,270.609079785767,299.929903656876,273.925144377095,322.095069308204,2,2
"iRep=239",251.210685315534,265.871097251089,253.171554308709,282.492378179818,262.98461438671,311.154539317819,2,2
"iRep=240",263.257901507684,277.918313443239,265.139493076701,294.460316947811,266.917730648645,315.087655579754,2,2
"iRep=241",263.543404526403,278.203816461957,267.267030326756,296.587854197866,274.313600172695,322.483525103804,2,2
"iRep=243",268.739167357081,283.399579292635,276.803888691642,306.124712562751,282.965859395238,331.135784326347,2,2
"iRep=244",285.473023646669,300.133435582224,295.376611391655,324.697435262764,299.090659917868,347.260584848976,2,2
"iRep=245",267.709301668932,282.369713604487,262.871730095493,292.192553966602,271.363847585312,319.533772516421,3,2
"iRep=246",272.562934313166,287.223346248721,281.129115945213,310.449939816323,293.960210794314,342.130135725423,2,2
"iRep=247",272.087865181782,286.748277117336,273.320486230732,302.641310101842,278.851398852171,327.021323783279,2,2
"iRep=248",263.896472377503,278.556884313058,266.204303651328,295.525127522438,280.464994734085,328.634919665193,2,2
"iRep=249",257.397763753952,272.058175689507,263.031248069096,292.352071940205,274.165429630187,322.335354561295,2,2
"iRep=250",267.486421919662,282.146833855217,272.873040141219,302.193864012328,276.954859061908,325.124783993016,2,2
"iRep=251",258.265377382012,272.925789317566,266.622690467202,295.943514338311,277.763847015334,325.933771946443,2,2
"iRep=252",276.996125992086,291.656537927641,286.061652984052,315.382476855162,294.331731582096,342.501656513204,2,2
"iRep=254",266.112567654795,280.77297959035,262.375196102941,291.69601997405,275.646283424198,323.816208355307,3,2
"iRep=255",252.891003128704,267.551415064259,262.592474951528,291.913298822637,262.709251619768,310.879176550876,2,2
"iRep=256",268.845774958014,283.506186893568,271.425706460778,300.746530331888,282.094103671584,330.264028602693,2,2
"iRep=257",262.04945227255,276.709864208105,266.92060520269,296.2414290738,268.515285385964,316.685210317073,2,2
"iRep=258",265.67027472634,280.330686661895,277.148762074357,306.469585945467,280.888669504549,329.058594435658,2,2
"iRep=259",270.44225790552,285.102669841075,278.872139071775,308.192962942885,285.664349325553,333.834274256662,2,2
"iRep=260",268.936228624044,283.596640559599,271.951059964311,301.27188383542,277.458387685387,325.628312616496,2,2
"iRep=261",264.12010250828,278.780514443834,258.054597318506,287.375421189616,270.265909684463,318.435834615571,3,2
"iRep=262",262.029763505127,276.690175440682,273.639666420216,302.960490291326,277.543809349027,325.713734280135,2,2
"iRep=263",237.527342181025,252.187754116579,239.568437375938,268.889261247047,248.521269408957,296.691194340065,2,2
"iRep=264",267.198834745347,281.859246680901,272.798254520668,302.119078391778,272.514079440484,320.684004371592,2,2
"iRep=265",255.796614975369,270.457026910924,265.050170731865,294.370994602974,275.769424431604,323.939349362713,2,2
"iRep=266",281.273432682709,295.933844618264,286.759263720188,316.080087591298,285.660362328624,333.830287259732,2,2
"iRep=267",280.23475050315,294.895162438705,286.737696658374,316.058520529483,289.361275165083,337.531200096191,2,2
"iRep=268",260.642605856375,275.30301779193,265.608490840374,294.929314711483,276.02784868148,324.197773612588,2,2
"iRep=270",273.441486625038,288.101898560593,282.868998425828,312.189822296937,284.851666118883,333.021591049991,2,2
"iRep=271",262.64846524664,277.308877182195,264.081925768625,293.402749639735,272.312851945651,320.482776876759,2,2
"iRep=272",275.361706383944,290.022118319499,283.416207238793,312.737031109902,294.150474005271,342.320398936379,2,2
"iRep=273",256.875091491022,271.535503426577,259.646905090467,288.967728961577,270.169439698056,318.339364629164,2,2
"iRep=274",262.174321902537,276.834733838092,266.76244281852,296.083266689629,275.82061857072,323.990543501828,2,2
"iRep=275",259.776493510714,274.436905446269,265.957406728607,295.278230599716,271.748017747769,319.917942678877,2,2
"iRep=276",281.892031804375,296.55244373993,285.739624461621,315.06044833273,301.738656041904,349.908580973012,2,2
"iRep=277",263.215807826381,277.876219761935,269.760028383217,299.080852254326,270.885627872199,319.055552803307,2,2
"iRep=278",279.54594508977,294.206357025325,280.779454705135,310.100278576245,285.33095180871,333.500876739818,2,2
"iRep=279",273.389479311753,288.049891247308,277.428185135826,306.749009006936,284.415613713202,332.58553864431,2,2
"iRep=280",249.458037465228,264.118449400782,255.13232926184,284.45315313295,262.709393434927,310.879318366035,2,2
"iRep=281",272.535328833591,287.195740769145,271.151173887961,300.471997759071,279.554903926218,327.724828857326,3,2
"iRep=282",269.459553831182,284.119965766737,274.724132936416,304.044956807525,289.185068268194,337.354993199302,2,2
"iRep=283",260.63077937675,275.291191312304,262.514595833665,291.835419704774,264.378434374354,312.548359305463,2,2
"iRep=284",273.800596608431,288.461008543985,276.814522539775,306.135346410884,287.876680424453,336.046605355561,2,2
"iRep=285",249.840503854493,264.500915790047,261.312893117757,290.633716988867,269.598849822726,317.768774753834,2,2
"iRep=286",267.850353356579,282.510765292134,270.810130182954,300.130954054064,274.749149747195,322.919074678304,2,2
"iRep=287",266.45548979336,281.115901728915,274.50193127081,303.822755141919,277.1207017464,325.290626677508,2,2
"iRep=288",280.425303361469,295.085715297024,280.435793376838,309.756617247948,294.204479516054,342.374404447163,2,2
"iRep=289",259.329156616205,273.989568551759,261.799047274016,291.119871145125,274.698730291859,322.868655222968,2,2
"iRep=290",266.062396543969,280.722808479524,277.242089376522,306.562913247632,286.73054456019,334.900469491298,2,2
"iRep=291",289.656031965129,304.316443900684,284.909744627409,314.230568498518,288.889382214938,337.059307146046,3,2
"iRep=292",274.938731587181,289.599143522735,281.352687753922,310.673511625031,291.397299597282,339.56722452839,2,2
"iRep=293",277.532872522861,292.193284458416,275.521263257246,304.842087128355,288.040418454377,336.210343385486,3,2
"iRep=294",267.467161333659,282.127573269214,276.818174032524,306.138997903633,277.959053476255,326.128978407363,2,2
"iRep=295",267.91297070582,282.573382641374,277.293859594183,306.614683465293,278.187411579765,326.357336510874,2,2
"iRep=296",272.406528657917,287.066940593472,270.693180135982,300.014004007091,281.870860451091,330.040785382199,3,2
"iRep=297",262.981257459729,277.641669395284,272.065602136602,301.386426007711,281.737335976618,329.907260907726,2,2
"iRep=298",283.554763784275,298.21517571983,287.847751563611,317.16857543472,297.771246540893,345.941171472001,2,2
"iRep=299",281.548701046828,296.209112982382,282.402167180137,311.722991051247,281.677074566139,329.846999497247,2,2
"iRep=300",264.033048727997,278.693460663552,272.786373422123,302.107197293232,281.333783688834,329.503708619942,2,2
"iRep=301",250.666291064143,265.326702999698,260.015343563945,289.336167435055,269.372629070593,317.542554001702,2,2
"iRep=302",271.042403748399,285.702815683954,270.84863072852,300.16945459963,278.023254152266,326.193179083374,3,2
