"","t=1","t=2","t=3","t=4","t=5","t=6","t=7","t=8","t=9","t=10","t=11","t=12","t=13","t=14","t=15","t=16","t=17","t=18","t=19","t=20","t=21","t=22","t=23","t=24","t=25","t=26","t=27","t=28","t=29","t=30","t=31","t=32","t=33","t=34","t=35","t=36","t=37","t=38","t=39","t=40","t=41","t=42","t=43","t=44","t=45","t=46","t=47","t=48","t=49","t=50","t=51","t=52","t=53","t=54","t=55","t=56","t=57","t=58","t=59","t=60","accuracy"
"iRep=84",2,1,3,3,3,1,2,2,3,3,3,1,3,1,3,3,1,3,1,3,1,1,3,1,3,1,1,3,3,3,1,3,3,3,1,2,2,2,2,3,3,1,3,1,3,3,1,3,1,3,3,1,2,2,2,2,2,3,1,3,0.783333333333333
"iRep=85",2,1,2,1,3,3,3,2,1,3,3,1,3,3,1,3,3,1,3,1,2,1,2,1,3,1,3,1,3,3,3,3,3,1,3,1,2,1,3,3,1,2,1,2,1,3,3,3,1,3,3,1,3,3,1,3,1,3,3,1,0.566666666666667
"iRep=86",2,2,2,1,3,1,1,2,1,1,2,2,2,1,3,1,2,2,2,1,3,3,1,3,1,3,1,3,1,1,2,2,1,3,1,1,3,1,3,3,3,3,1,3,2,2,2,1,3,3,3,3,3,1,3,1,1,3,1,2,0.65
"iRep=87",3,1,1,2,3,3,1,2,2,3,1,2,2,3,1,3,1,2,3,3,1,2,3,1,2,3,1,1,1,3,1,1,3,1,1,3,1,3,1,2,3,1,3,3,3,3,3,1,3,1,3,1,3,1,1,1,3,3,3,3,0.716666666666667
"iRep=88",2,2,3,2,2,2,1,3,1,2,3,3,3,1,3,2,1,3,1,1,3,3,1,1,3,1,1,3,1,1,3,3,2,2,2,2,3,1,3,3,1,3,3,3,3,3,3,1,1,3,1,3,2,3,1,3,1,1,3,1,0.566666666666667
"iRep=89",3,1,2,2,2,2,2,2,2,1,3,3,1,3,3,1,2,2,2,1,3,1,3,1,3,1,3,1,3,1,2,2,2,1,3,1,3,1,3,3,3,3,1,2,2,2,2,1,3,3,1,3,3,1,3,1,3,1,2,2,0.483333333333333
"iRep=90",3,1,2,2,2,3,1,1,2,2,2,3,1,2,2,2,3,3,1,2,2,2,2,2,2,2,2,2,2,3,1,3,1,3,1,3,1,1,2,2,2,2,2,2,2,2,3,3,1,1,3,3,1,1,2,2,3,1,2,2,0.583333333333333
"iRep=91",3,3,1,3,1,1,3,3,1,2,2,1,3,1,1,3,3,3,3,3,1,3,3,3,3,1,3,3,1,3,1,3,3,1,3,1,2,2,3,3,1,1,2,2,3,3,1,2,2,1,3,3,3,3,1,1,2,2,2,3,0.716666666666667
"iRep=92",3,2,2,2,2,1,3,2,1,3,2,1,3,2,1,3,2,2,2,1,2,2,2,2,1,3,2,2,2,2,2,2,2,2,1,3,2,2,2,2,2,2,2,2,1,3,1,3,2,2,2,2,2,1,3,2,2,2,2,2,0.45
"iRep=93",2,3,1,2,3,3,1,2,2,3,1,2,1,2,3,3,1,2,3,3,1,2,2,3,1,3,1,3,1,3,1,3,1,2,3,1,2,3,3,1,2,2,3,3,3,1,2,3,1,2,3,1,2,3,1,2,3,1,2,1,0.65
"iRep=94",2,1,3,2,1,3,2,1,3,2,2,1,3,2,1,3,2,1,3,2,1,1,3,2,2,2,1,3,2,2,1,3,2,1,3,2,2,1,1,3,2,2,1,3,2,1,3,2,2,2,1,1,3,2,2,2,2,1,3,2,0.5
"iRep=95",3,2,2,2,2,2,2,2,2,2,2,2,1,1,3,3,1,3,1,3,2,2,2,2,2,2,1,1,3,1,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,3,1,3,1,3,1,3,1,3,0.383333333333333
"iRep=96",3,3,2,1,1,2,1,2,1,2,2,1,2,2,2,1,3,3,1,2,1,2,2,1,1,2,2,2,1,3,2,1,2,1,2,1,2,1,2,2,2,1,3,2,1,2,1,2,1,2,1,2,2,1,2,1,3,1,2,1,0.616666666666667
"iRep=97",3,3,3,2,3,3,2,2,3,3,1,2,3,1,3,1,3,1,3,3,3,3,3,1,3,3,1,3,3,3,1,2,3,1,2,3,3,3,1,2,2,3,2,3,3,3,3,2,2,2,2,2,2,2,2,3,1,2,3,1,0.733333333333333
"iRep=98",3,1,3,3,3,1,3,3,3,3,1,3,1,3,1,2,2,2,2,2,2,2,2,2,2,2,3,1,3,1,3,3,1,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,1,3,1,3,3,2,0.633333333333333
