"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=304",272.584381046529,287.244792982084,287.660210384784,316.981034255893,287.952656469555,336.122581400663,2,2
"iRep=305",247.32855902461,261.988970960164,254.530047728688,283.850871599798,267.070914549517,315.240839480625,2,2
"iRep=307",258.159048119004,272.819460054559,261.471803528623,290.792627399733,264.993954448454,313.163879379562,2,2
"iRep=308",280.986459600398,295.646871535952,271.015031938288,300.335855809397,273.442983800708,321.612908731816,3,2
"iRep=309",276.258342566101,290.918754501656,278.011945821144,307.332769692254,286.790767878858,334.960692809967,2,2
"iRep=310",257.924678047424,272.585089982979,262.952988604593,292.273812475703,270.915606843626,319.085531774734,2,2
"iRep=311",266.760972640931,281.421384576486,274.201427652887,303.522251523996,283.450718219514,331.620643150623,2,2
"iRep=312",272.301736160367,286.962148095922,280.32479395512,309.645617826229,289.734875619094,337.904800550202,2,2
"iRep=313",267.901642018803,282.562053954358,275.781276706583,305.102100577692,281.483259833927,329.653184765036,2,2
"iRep=314",280.099965556668,294.760377492223,286.506232588852,315.827056459961,290.923721715805,339.093646646913,2,2
"iRep=315",272.799746684952,287.460158620506,283.902633656465,313.223457527574,281.773370951562,329.943295882671,2,2
"iRep=316",260.927107482832,275.587519418387,262.596693112837,291.917516983947,267.227253402526,315.397178333634,2,2
"iRep=317",285.164250136844,299.824662072399,295.877111678777,325.197935549886,306.29166186368,354.461586794788,2,2
"iRep=318",269.921232620856,284.581644556411,272.964004523841,302.28482839495,282.118468232928,330.288393164036,2,2
"iRep=319",266.546487599586,281.206899535141,268.987939200282,298.308763071392,279.410342196137,327.580267127245,2,2
"iRep=320",280.162446243142,294.822858178696,290.445520367254,319.766344238363,301.483914443699,349.653839374807,2,2
"iRep=321",272.039835762565,286.70024769812,278.59806299837,307.918886869479,285.834415907321,334.00434083843,2,2
"iRep=322",253.741462103616,268.401874039171,259.311116447213,288.631940318322,274.277547165517,322.447472096625,2,2
"iRep=323",263.222466837532,277.882878773087,272.512056343662,301.832880214772,278.025289902572,326.19521483368,2,2
"iRep=324",282.466661237107,297.127073172661,283.036977272297,312.357801143406,292.037995269616,340.207920200725,2,2
"iRep=325",264.03777597875,278.698187914304,268.646119321421,297.96694319253,279.699289823623,327.869214754731,2,2
"iRep=326",279.05291075819,293.713322693745,283.946901912867,313.267725783977,287.393839338229,335.563764269338,2,2
"iRep=327",293.33104110057,307.991453036125,302.584734855553,331.905558726663,305.200012001048,353.369936932157,2,2
"iRep=328",275.277506792411,289.937918727965,280.959201901369,310.280025772478,282.020896651794,330.190821582903,2,2
"iRep=329",259.747406172644,274.407818108199,273.609538529123,302.930362400232,276.753234164815,324.923159095924,2,2
"iRep=330",248.288123676216,262.94853561177,258.981096462902,288.301920334012,267.911874453252,316.08179938436,2,2
"iRep=331",276.948457441853,291.608869377408,282.607606145466,311.928430016576,295.150000587136,343.319925518244,2,2
"iRep=332",249.840578249823,264.500990185377,259.720638956716,289.041462827826,264.317482777333,312.487407708441,2,2
"iRep=333",276.649207225244,291.309619160798,275.942188600556,305.263012471665,290.296867187642,338.46679211875,3,2
"iRep=334",261.751892678963,276.412304614517,272.698643248208,302.019467119318,274.593389155755,322.763314086864,2,2
"iRep=335",285.988374200171,300.648786135726,292.890861587131,322.21168545824,300.104568973302,348.27449390441,2,2
"iRep=336",256.997686326774,271.658098262329,261.03905962363,290.359883494739,262.468596968513,310.638521899621,2,2
"iRep=337",262.260776197091,276.921188132646,269.318913545288,298.639737416398,275.269148391962,323.43907332307,2,2
"iRep=338",276.144482390954,290.804894326508,286.980482371813,316.301306242922,292.235483877427,340.405408808536,2,2
"iRep=339",270.642544045116,285.302955980671,278.617929790007,307.938753661117,286.266870895594,334.436795826702,2,2
"iRep=340",268.891658256906,283.552070192461,280.766088399769,310.086912270878,291.857380042579,340.027304973687,2,2
"iRep=341",270.073662848137,284.734074783691,276.836398423916,306.157222295026,279.333912262306,327.503837193414,2,2
"iRep=342",268.506670596675,283.167082532229,269.867392272605,299.188216143714,282.058341088874,330.228266019983,2,2
"iRep=343",267.73177033767,282.392182273224,273.40486540255,302.72568927366,281.151068328384,329.320993259493,2,2
"iRep=344",271.592390737159,286.252802672714,276.226020380365,305.546844251474,290.1620052843,338.331930215409,2,2
"iRep=345",258.098142552699,272.758554488254,266.303023547126,295.623847418236,260.393771827026,308.563696758134,2,2
"iRep=346",273.762154029938,288.422565965493,281.941025950688,311.261849821798,288.657622667106,336.827547598214,2,2
"iRep=347",277.568523302137,292.228935237692,288.000367215833,317.321191086943,291.382961072721,339.55288600383,2,2
"iRep=348",257.977489414173,272.637901349727,261.342957577739,290.663781448848,271.795026542698,319.964951473806,2,2
"iRep=349",266.80484820598,281.465260141535,274.346460519609,303.667284390719,284.510036276787,332.679961207895,2,2
"iRep=350",260.282954183204,274.943366118758,268.594836987355,297.915660858464,268.866458215303,317.036383146411,2,2
"iRep=351",275.72904390495,290.389455840505,283.573892198393,312.894716069502,293.722919451523,341.892844382632,2,2
"iRep=352",258.460882093952,273.121294029507,267.491704255595,296.812528126704,282.151026540517,330.320951471626,2,2
"iRep=353",271.773437886399,286.433849821953,280.671446333876,309.992270204985,283.776923268304,331.946848199412,2,2
"iRep=354",261.522533607543,276.182945543098,266.378142690921,295.69896656203,274.320634903046,322.490559834154,2,2
"iRep=355",281.750285607015,296.410697542569,288.957828785568,318.278652656678,286.651056479171,334.820981410279,2,2
"iRep=356",250.035326897684,264.695738833239,260.47329023954,289.794114110649,246.906687548064,295.076612479172,4,2
"iRep=357",258.492928593318,273.153340528873,266.761032872894,296.081856744003,274.355453534097,322.525378465205,2,2
"iRep=358",264.308299006161,278.968710941715,262.251790232507,291.572614103616,269.204969321791,317.374894252899,3,2
"iRep=359",258.881639036917,273.542050972472,258.03282651165,287.35365038276,262.335184634888,310.505109565997,3,2
"iRep=360",261.813196969668,276.473608905223,275.158519153696,304.479343024806,268.723231820652,316.89315675176,2,2
"iRep=361",267.80324032025,282.463652255805,268.300560551703,297.621384422813,278.141013560341,326.310938491449,2,2
"iRep=362",265.00027755766,279.660689493215,275.38713177093,304.707955642039,281.063091516322,329.233016447431,2,2
"iRep=363",289.641136499625,304.30154843518,293.291689967643,322.612513838753,300.056362174664,348.226287105773,2,2
"iRep=364",269.309373256342,283.969785191897,278.25923722697,307.580061098079,293.363438977363,341.533363908472,2,2
"iRep=365",274.748033271738,289.408445207293,279.614775957246,308.935599828356,282.768409575952,330.93833450706,2,2
"iRep=366",270.951916840535,285.61232877609,274.473650323205,303.794474194314,279.344753954723,327.514678885831,2,2
"iRep=367",279.859935625936,294.52034756149,280.046905904442,309.367729775552,287.523419349297,335.693344280405,2,2
"iRep=368",255.57930151577,270.239713451325,251.848858986585,281.169682857694,260.16022525836,308.330150189468,3,2
"iRep=369",254.843640586491,269.504052522046,258.553570969036,287.874394840145,278.979471917662,327.14939684877,2,2
"iRep=370",256.668486180793,271.328898116348,266.479590124019,295.800413995129,271.809183106249,319.979108037357,2,2
"iRep=371",276.943581848988,291.603993784543,286.082634788834,315.403458659943,297.533294487618,345.703219418726,2,2
"iRep=372",270.236214357127,284.896626292681,263.278219270342,292.599043141452,271.322797265023,319.492722196131,3,2
"iRep=373",278.460441348045,293.1208532836,282.121456773487,311.442280644596,283.016359264299,331.186284195407,2,2
"iRep=374",275.258703939512,289.919115875067,262.92562155773,292.24644542884,265.723959531995,313.893884463103,3,2
"iRep=375",285.006871820579,299.667283756134,291.666023011244,320.986846882353,287.154105591455,335.324030522563,2,2
"iRep=376",250.532111786613,265.192523722167,256.366399837903,285.687223709012,239.750167549331,287.92009248044,4,2
"iRep=377",253.327852849512,267.988264785067,263.609788184904,292.930612056014,267.218236081105,315.388161012214,2,2
"iRep=378",277.649309520506,292.30972145606,278.088886496872,307.409710367981,291.46743866584,339.637363596948,2,2
"iRep=379",269.881516084415,284.541928019969,274.949150355474,304.269974226583,283.010791008493,331.180715939601,2,2
"iRep=380",255.913320763363,270.573732698917,256.508438539191,285.8292624103,262.819748369649,310.989673300758,2,2
"iRep=381",271.011592608161,285.672004543715,282.693604393109,312.014428264218,262.128010430704,310.297935361812,4,2
"iRep=382",279.58195080225,294.242362737804,284.238412285482,313.559236156591,296.328404103601,344.49832903471,2,2
"iRep=383",284.077125561073,298.737537496628,294.415377040432,323.736200911541,296.153137246929,344.323062178037,2,2
"iRep=384",274.079000871138,288.739412806693,283.297554061003,312.618377932112,291.542386419011,339.71231135012,2,2
"iRep=385",251.341612389638,266.002024325193,259.711578482105,289.032402353214,269.03298965569,317.202914586798,2,2
"iRep=386",266.454466831166,281.11487876672,273.010081452602,302.330905323712,276.080710946759,324.250635877867,2,2
"iRep=387",264.03506415651,278.695476092064,273.40904696048,302.72987083159,275.066325201981,323.236250133089,2,2
"iRep=388",261.774241160165,276.43465309572,265.449094636141,294.76991850725,274.009814052291,322.179738983399,2,2
"iRep=389",254.353990756596,269.01440269215,262.521387551696,291.842211422806,275.809883132268,323.979808063376,2,2
"iRep=390",265.325756996416,279.986168931971,261.23003544387,290.550859314979,274.022084364449,322.192009295557,3,2
"iRep=391",260.518535987015,275.17894792257,259.21091794888,288.531741819989,277.031209967154,325.201134898263,3,2
"iRep=392",270.971412734461,285.631824670016,280.955353655178,310.276177526287,284.559798035546,332.729722966654,2,2
"iRep=393",269.156080500247,283.816492435802,281.580570988545,310.901394859654,286.864940522799,335.034865453908,2,2
"iRep=394",267.524214207129,282.184626142684,273.768544126394,303.089367997503,273.94870422984,322.118629160949,2,2
"iRep=395",275.265489838206,289.92590177376,280.825035794566,310.145859665676,291.051028279243,339.220953210352,2,2
"iRep=396",272.683074160069,287.343486095624,266.612969306369,295.933793177479,278.646129839847,326.816054770955,3,2
"iRep=397",253.719303127348,268.379715062903,251.306948906956,280.627772778065,247.743854411114,295.913779342222,4,2
"iRep=398",278.913478403197,293.573890338752,282.08579684315,311.40662071426,273.341923984758,321.511848915867,4,2
"iRep=399",266.113111175689,280.773523111243,271.630864441559,300.951688312668,280.337765820257,328.507690751365,2,2
"iRep=400",259.893288332339,274.553700267894,267.12646873488,296.447292605989,272.513454962999,320.683379894107,2,2
"iRep=401",261.882063160253,276.542475095807,266.539454805495,295.860278676605,275.012665003727,323.182589934835,2,2
"iRep=402",272.679979498893,287.340391434448,272.400623658154,301.721447529263,278.57307357413,326.742998505238,3,2
"iRep=403",256.814108611153,271.474520546708,264.572562303019,293.893386174129,273.468442808977,321.638367740085,2,2
"iRep=404",253.363212034294,268.023623969849,254.64043374051,283.96125761162,265.253594715888,313.423519646996,2,2
"iRep=405",271.997630850293,286.658042785848,278.983586268591,308.304410139701,285.883635513069,334.053560444178,2,2
"iRep=406",270.642849698638,285.303261634192,279.671107101349,308.991930972458,290.14062006887,338.310544999978,2,2
"iRep=407",274.940617372001,289.601029307556,280.905697049928,310.226520921038,295.276709235544,343.446634166652,2,2
"iRep=408",283.51043765612,298.170849591674,290.142654901726,319.463478772835,286.777806576157,334.947731507265,2,2
"iRep=409",264.58101544084,279.241427376395,266.693153946231,296.01397781734,275.928219565683,324.098144496791,2,2
"iRep=410",240.258683240212,254.919095175767,241.085650515608,270.406474386718,250.747315101262,298.917240032371,2,2
"iRep=411",275.310403239321,289.970815174875,285.071418710333,314.392242581443,289.108638201823,337.278563132931,2,2
"iRep=412",262.123584505588,276.783996441143,262.607657100558,291.928480971667,273.198427528007,321.368352459115,2,2
"iRep=413",241.476063986378,256.136475921932,248.95159263364,278.27241650475,258.242713372361,306.412638303469,2,2
"iRep=414",279.503505165062,294.163917100616,288.101747949878,317.422571820988,300.088476900103,348.258401831211,2,2
"iRep=415",268.909292123308,283.569704058863,269.537629021779,298.858452892888,284.038172214385,332.208097145494,2,2
"iRep=416",277.578454246703,292.238866182258,290.049576124151,319.37039999526,296.613972948876,344.783897879984,2,2
"iRep=417",263.513977604177,278.174389539732,266.028240298409,295.349064169518,273.029566905569,321.199491836677,2,2
"iRep=418",264.185029849754,278.845441785309,269.557054061607,298.877877932716,268.634144108498,316.804069039607,2,2
"iRep=419",266.020062229617,280.680474165171,274.359222625819,303.680046496928,288.52462278525,336.694547716358,2,2
"iRep=420",251.097375339245,265.757787274799,251.28515972437,280.605983595479,254.039767310821,302.209692241929,2,2
"iRep=421",265.409342713156,280.069754648711,262.542783594026,291.863607465136,283.747920798727,331.917845729836,3,2
"iRep=422",274.143319012749,288.803730948304,278.376837847927,307.697661719036,290.634192115613,338.804117046721,2,2
"iRep=423",272.231971599356,286.892383534911,277.704214150157,307.025038021266,291.056480757775,339.226405688883,2,2
"iRep=424",272.716451145437,287.376863080991,280.896576472079,310.217400343188,292.210668605318,340.380593536427,2,2
"iRep=425",254.838547790503,269.498959726058,263.752913651249,293.073737522359,278.051699241671,326.22162417278,2,2
"iRep=426",257.167791365743,271.828203301297,257.406675735393,286.727499606503,266.616557023063,314.786481954172,2,2
"iRep=427",272.765685731027,287.426097666582,281.994482849313,311.315306720422,287.361779393764,335.531704324872,2,2
"iRep=428",257.54821753317,272.208629468725,268.076903291396,297.397727162505,276.221900936227,324.391825867335,2,2
"iRep=429",256.047902584254,270.708314519809,271.743323024884,301.064146895993,273.959522069199,322.129447000307,2,2
"iRep=430",256.908568036882,271.568979972436,261.181891960286,290.502715831396,264.688125514522,312.858050445631,2,2
"iRep=431",261.728103668797,276.388515604352,270.876250275616,300.197074146726,271.061209851693,319.231134782802,2,2
"iRep=432",259.210506258764,273.870918194318,259.025982441755,288.346806312865,269.89380934191,318.063734273019,3,2
"iRep=433",269.308846135017,283.969258070572,273.028560509418,302.349384380527,284.609959741967,332.779884673075,2,2
"iRep=434",277.319455759314,291.979867694869,281.638779398332,310.959603269442,295.455197145607,343.625122076715,2,2
"iRep=435",256.494551392288,271.154963327842,265.444251799315,294.765075670425,271.457347744141,319.627272675249,2,2
"iRep=436",273.161314444356,287.82172637991,281.086954428686,310.407778299796,294.474893472311,342.64481840342,2,2
"iRep=437",274.312761789921,288.973173725476,276.448617346931,305.76944121804,289.860674597188,338.030599528297,2,2
"iRep=438",265.13367415559,279.794086091144,267.873055165685,297.193879036795,277.289609675709,325.459534606818,2,2
"iRep=439",268.988890751303,283.649302686858,279.403078202764,308.723902073873,278.908972503593,327.078897434701,2,2
"iRep=440",276.790607467765,291.45101940332,273.280283792914,302.601107664024,285.328664871025,333.498589802134,3,2
"iRep=441",269.44171833416,284.102130269714,279.673946003867,308.994769874977,276.268785115725,324.438710046833,2,2
"iRep=442",251.858312944532,266.518724880087,262.254781528163,291.575605399273,273.822483979298,321.992408910407,2,2
