"","AIC_2","BIC_2","AIC_3","BIC_3","AIC_4","BIC_4","AIC_m","BIC_m"
"iRep=724",207.02186254173,217.493585352841,213.218418125583,236.256208310026,225.580999784059,265.373546466279,2,2
"iRep=725",202.539696745331,213.011419556441,214.497047498233,237.534837682676,229.851623041884,269.644169724104,2,2
"iRep=726",214.753289745697,225.225012556807,225.797772046951,248.835562231394,235.280207787434,275.072754469654,2,2
"iRep=727",233.323746056448,243.795468867559,241.315324976569,264.353115161012,250.975662024085,290.768208706305,2,2
"iRep=728",228.63274817706,239.104470988171,237.953185502069,260.990975686513,250.393862194998,290.186408877218,2,2
"iRep=729",206.831639202035,217.303362013146,214.215203596679,237.252993781122,229.335589563981,269.128136246201,2,2
"iRep=730",207.638772801958,218.110495613068,217.220002026098,240.257792210541,229.492522585501,269.285069267721,2,2
"iRep=731",205.46988885765,215.94161166876,213.605384760282,236.643174944725,222.255355978964,262.047902661184,2,2
"iRep=732",230.126467728505,240.598190539615,238.008839012997,261.04662919744,252.843283920889,292.635830603109,2,2
"iRep=733",229.762059375749,240.23378218686,238.37511639776,261.412906582203,250.922579820792,290.715126503012,2,2
"iRep=734",207.676892211097,218.148615022208,215.738736937541,238.776527121984,228.910165695526,268.702712377746,2,2
"iRep=735",230.296375658103,240.768098469213,241.979606725241,265.017396909684,257.990528249507,297.783074931727,2,2
"iRep=736",220.201782815552,230.673505626663,230.361664265141,253.399454449584,245.539436010791,285.331982693011,2,2
"iRep=737",202.026688988958,212.498411800069,212.015139561067,235.05292974551,222.871908543975,262.664455226195,2,2
"iRep=738",203.587758578554,214.059481389664,214.682172026252,237.719962210695,225.200278729404,264.992825411623,2,2
"iRep=739",200.597919396296,211.069642207406,209.464499925295,232.502290109738,225.624064079415,265.416610761634,2,2
"iRep=740",232.838730578252,243.310453389362,242.031826012599,265.069616197042,250.444868284669,290.237414966888,2,2
"iRep=741",182.610044422701,193.081767233811,194.37887763506,217.416667819503,209.159860616445,248.952407298664,2,2
"iRep=742",215.353202920756,225.824925731867,225.644577627666,248.682367812109,236.941881257924,276.734427940144,2,2
"iRep=743",215.800646760351,226.272369571461,226.147650141248,249.185440325691,240.234096548679,280.026643230899,2,2
"iRep=744",203.975184523701,214.446907334812,213.080756061726,236.118546246169,226.558486944844,266.351033627064,2,2
"iRep=745",239.570631819203,250.042354630313,248.005378744953,271.043168929396,258.995746012821,298.788292695041,2,2
"iRep=746",211.415547993034,221.887270804144,220.040031121625,243.077821306068,234.639133312341,274.431679994561,2,2
"iRep=747",204.107478997749,214.57920180886,214.067083294637,237.10487347908,233.103194075087,272.895740757307,2,2
"iRep=748",232.749053500493,243.220776311603,243.91893630561,266.956726490053,257.55117894,297.34372562222,2,2
"iRep=749",220.580316053611,231.052038864722,232.654710954894,255.692501139337,234.466121025536,274.258667707756,2,2
"iRep=750",215.345686053816,225.817408864927,222.184924574174,245.222714758617,240.972036128989,280.764582811209,2,2
"iRep=751",220.733063102404,231.204785913514,230.34342743958,253.381217624023,244.320026098709,284.112572780929,2,2
"iRep=752",223.724147710972,234.195870522082,235.803700936028,258.841491120471,242.645694594903,282.438241277123,2,2
"iRep=753",212.345026822715,222.816749633825,223.409036715413,246.446826899856,238.24536065624,278.03790733846,2,2
"iRep=754",242.105106038831,252.576828849942,251.983417373518,275.021207557961,267.957559938614,307.750106620834,2,2
"iRep=755",217.645046234894,228.116769046004,228.21127224301,251.249062427453,237.668686886056,277.461233568276,2,2
"iRep=756",237.719383566068,248.191106377179,246.390366848553,269.428157032997,258.687804032496,298.480350714716,2,2
"iRep=757",237.377652133562,247.849374944673,249.380981470083,272.418771654526,258.96555039521,298.75809707743,2,2
"iRep=758",227.498144355637,237.969867166748,235.038003855124,258.075794039567,249.869348773758,289.661895455977,2,2
"iRep=759",205.048625588778,215.520348399889,214.560055635251,237.597845819694,229.695026760759,269.487573442979,2,2
"iRep=760",229.060019394601,239.531742205712,236.424582687336,259.462372871779,252.37964601285,292.17219269507,2,2
"iRep=761",197.47365033492,207.945373146031,204.755441233772,227.793231418215,216.413980599594,256.206527281814,2,2
"iRep=762",206.044701332461,216.516424143572,209.67003162943,232.707821813873,220.673884815522,260.466431497742,2,2
"iRep=763",210.305523410664,220.777246221775,215.838692463297,238.87648264774,230.38220914705,270.17475582927,2,2
"iRep=764",206.212349602302,216.684072413412,218.16919396568,241.206984150124,230.589145897492,270.381692579712,2,2
"iRep=765",210.341775371493,220.813498182604,215.073361671164,238.111151855607,229.0814390406,268.87398572282,2,2
"iRep=766",220.520637304417,230.992360115527,231.441869279071,254.479659463514,248.502816035227,288.295362717447,2,2
"iRep=767",201.926482383052,212.398205194162,209.796293589352,232.834083773795,224.387343775189,264.179890457409,2,2
"iRep=768",212.750919177719,223.22264198883,218.339043420112,241.376833604555,234.335413550497,274.127960232717,2,2
"iRep=769",221.724666700084,232.196389511195,233.722047628022,256.759837812465,244.406579192299,284.199125874519,2,2
"iRep=770",215.964986333912,226.436709145023,225.332289676505,248.370079860948,239.192608909891,278.985155592111,2,2
"iRep=771",218.365079433318,228.836802244429,225.590757824295,248.628548008738,242.875310304013,282.667856986232,2,2
"iRep=772",217.15970556589,227.631428377,227.98206436056,251.019854545004,242.287849745411,282.080396427631,2,2
"iRep=773",202.686220843425,213.157943654535,213.114275557279,236.152065741722,223.617114003886,263.409660686105,2,2
"iRep=774",230.831371365636,241.303094176746,242.473157460333,265.510947644776,244.513044187734,284.305590869953,2,2
"iRep=775",216.146521824131,226.618244635242,220.079283190473,243.117073374916,236.053566693216,275.846113375436,2,2
"iRep=776",233.67655578391,244.148278595021,243.683349936773,266.721140121216,256.392309418351,296.184856100571,2,2
"iRep=777",217.869730354876,228.341453165986,227.032321245988,250.070111430431,238.340617720847,278.133164403067,2,2
"iRep=778",213.120782453752,223.592505264863,217.190240660909,240.228030845353,237.422260682572,277.214807364792,2,2
"iRep=779",215.037298663681,225.509021474791,224.553698515767,247.59148870021,239.822708843946,279.615255526166,2,2
"iRep=780",217.451392451613,227.923115262723,227.366121221016,250.403911405459,240.150288300293,279.942834982513,2,2
"iRep=781",226.965370581845,237.437093392956,237.083300616152,260.121090800595,253.087163677512,292.879710359732,2,2
"iRep=782",211.773429553906,222.245152365016,222.220130637008,245.257920821451,237.905178569722,277.697725251942,2,2
"iRep=783",213.046241264646,223.517964075756,223.55320703628,246.590997220723,238.078199145034,277.870745827254,2,2
"iRep=784",211.718850286352,222.190573097462,222.21624251555,245.254032699993,233.17755817737,272.97010485959,2,2
"iRep=785",216.524723732754,226.996446543865,224.926363344666,247.964153529109,230.840511217366,270.633057899585,2,2
